16
30 180
1 2 631
2 3 522
1 4 455
1 5 389
3 6 486
5 7 414
2 8 322
3 9 847
1 10 528
2 11 89
4 12 972
8 13 45
5 14 265
9 15 136
13 16 854
12 17 379
16 18 644
11 19 40
19 20 362
10 21 19
15 22 205
18 23 496
17 24 267
8 25 486
24 26 356
12 27 47
14 28 691
5 29 738
6 30 179
2 13 718
9 16 406
18 19 205
1 30 456
12 19 654
9 14 865
2 10 799
10 14 507
7 22 444
22 25 145
5 20 651
18 25 884
13 26 852
4 25 438
8 27 871
6 16 630
23 27 556
10 29 989
20 27 667
3 22 149
7 30 497
13 28 512
3 7 83
17 23 415
10 25 929
5 26 931
14 29 776
9 17 245
16 29 908
8 19 788
2 14 531
2 6 626
8 14 194
9 13 737
4 24 434
13 14 848
11 29 954
2 5 585
6 24 707
12 16 398
18 30 730
20 28 359
14 15 634
11 30 582
15 18 149
6 12 505
4 8 564
13 17 705
1 6 847
25 30 583
4 18 855
11 24 344
5 22 96
12 23 938
12 20 759
6 11 377
6 7 221
16 28 888
3 5 622
1 22 129
20 21 28
1 15 505
14 30 108
11 21 575
15 28 594
17 29 894
22 28 775
28 30 548
7 18 480
24 30 483
4 20 946
7 12 210
9 25 194
3 14 580
3 18 145
8 18 343
10 26 438
25 26 709
12 24 401
3 8 285
3 4 293
19 28 256
15 16 981
3 26 741
2 16 546
11 23 741
4 15 118
11 20 768
24 25 981
13 20 92
4 7 249
1 11 9
11 16 949
1 14 709
13 30 584
7 14 544
3 30 604
1 17 360
12 22 92
11 27 84
5 12 843
21 23 391
12 30 646
22 30 389
13 27 971
7 24 143
8 21 84
1 19 761
7 20 205
19 30 485
6 13 398
17 22 850
18 26 93
5 18 380
1 21 591
2 23 640
2 25 473
5 9 61
3 15 760
4 27 454
24 28 505
1 9 361
18 22 463
1 28 454
3 28 71
25 27 48
6 21 998
19 24 675
6 22 760
22 23 443
16 26 111
14 26 955
26 27 834
5 13 109
4 10 344
5 6 157
22 26 253
1 3 428
7 15 271
2 30 458
5 15 914
13 22 669
2 4 308
26 29 7
1 12 401
15 19 251
10 17 999
6 10 874
15 24 312
12 14 111
20 30 680
8
