40
84 2637
1 2 354
1 3 437
1 4 898
1 5 261
3 6 481
3 7 939
5 8 600
2 9 95
1 10 26
9 11 372
11 12 850
7 13 454
2 14 857
1 15 855
12 16 844
1 17 266
6 18 472
16 19 42
14 20 148
17 21 520
18 22 458
10 23 581
17 24 141
5 25 602
18 26 989
13 27 266
5 28 860
25 29 77
23 30 792
26 31 416
23 32 141
11 33 538
20 34 442
19 35 688
1 36 588
33 37 219
29 38 371
1 39 809
36 40 532
4 41 32
37 42 89
5 43 713
33 44 722
15 45 19
22 46 75
42 47 854
23 48 173
1 49 182
7 50 324
23 51 205
6 52 782
33 53 663
11 54 928
47 55 18
42 56 235
43 57 982
16 58 700
58 59 626
46 60 838
38 61 640
19 62 784
15 63 834
53 64 886
9 65 925
13 66 590
27 67 827
41 68 907
24 69 877
51 70 315
26 71 648
10 72 297
48 73 227
28 74 30
68 75 771
21 76 202
32 77 486
59 78 257
19 79 648
46 80 40
54 81 58
64 82 55
50 83 706
11 84 728
53 55 542
43 71 957
4 19 134
26 57 796
48 51 880
53 54 350
19 28 528
9 12 851
36 77 579
38 66 564
17 56 364
26 67 732
41 71 64
23 24 319
27 50 717
23 82 703
57 78 837
16 37 651
17 34 130
12 15 867
21 80 376
34 56 129
17 42 751
8 34 120
4 32 265
6 19 622
57 66 85
68 79 203
16 38 141
19 50 125
30 74 372
68 80 683
23 67 82
40 47 858
55 77 832
36 54 315
12 29 560
20 38 360
55 75 166
57 81 140
17 81 276
26 41 530
39 69 224
21 72 340
49 79 201
54 57 941
49 68 395
3 33 38
51 52 593
32 68 525
11 43 905
57 59 321
16 48 654
6 30 9
77 82 793
36 50 271
28 45 631
50 63 231
12 71 474
5 54 773
5 57 356
11 15 198
43 54 808
31 55 790
47 56 408
64 83 992
22 32 105
22 69 321
39 48 352
9 69 623
11 73 813
14 67 981
40 80 506
48 83 37
22 27 321
15 52 707
23 57 330
14 23 69
41 66 746
33 56 275
11 78 594
38 50 3
15 25 948
12 30 601
17 18 12
11 59 742
5 18 224
40 56 996
29 48 973
39 63 51
54 75 769
41 42 681
3 17 601
18 42 929
8 53 471
18 65 362
49 57 922
12 38 577
78 80 683
19 80 274
66 72 552
20 84 848
2 41 607
22 30 58
3 39 237
27 66 929
31 56 766
14 70 567
38 80 350
23 25 864
75 76 195
44 72 296
11 45 219
42 62 143
37 55 249
41 62 584
33 40 885
9 29 474
43 48 580
42 67 210
32 70 525
23 35 349
31 63 891
5 24 478
44 74 630
12 39 363
36 70 840
8 27 552
6 8 292
9 72 875
48 54 179
15 58 844
3 19 723
58 74 786
60 69 255
21 44 960
69 72 67
53 61 373
7 65 880
3 18 417
42 83 589
69 82 75
10 84 714
9 14 808
40 46 218
18 82 963
12 37 392
7 59 104
8 68 437
19 63 324
44 84 666
65 70 314
49 55 25
8 69 910
5 31 145
40 59 656
14 18 273
31 70 985
18 63 208
10 61 917
55 79 861
13 45 739
54 74 113
11 50 584
57 74 878
56 83 368
31 41 897
70 76 945
36 55 741
1 28 777
23 76 363
16 66 682
9 73 852
28 83 77
19 48 491
33 41 70
1 14 392
35 60 235
22 58 526
21 49 182
11 32 912
54 82 545
31 77 848
44 67 937
6 67 455
7 46 993
42 54 593
61 77 80
38 72 979
16 73 154
32 45 997
76 79 192
32 39 245
61 82 462
29 32 128
27 56 123
41 83 831
3 67 25
29 58 69
13 20 924
18 20 154
8 43 784
4 28 607
51 61 6
3 27 213
25 74 450
69 70 429
12 78 605
36 48 37
62 82 955
34 75 787
55 71 949
29 81 500
17 19 636
69 79 239
29 57 955
4 55 629
10 33 832
72 83 35
25 53 960
17 45 338
58 83 384
20 63 504
63 73 584
64 74 847
10 47 633
39 42 707
1 50 30
35 45 10
42 59 128
1 60 954
28 54 165
2 64 912
34 67 913
53 82 171
42 79 125
7 42 715
63 67 600
49 65 731
71 81 105
2 60 908
75 82 870
3 26 406
3 46 760
36 42 858
38 59 645
17 53 716
56 59 840
30 49 830
5 65 103
42 63 800
7 58 168
52 57 840
64 76 657
55 63 752
59 62 687
30 82 290
44 77 812
18 21 717
48 71 652
13 51 940
46 84 23
53 63 817
26 42 853
40 81 289
39 61 341
51 72 978
5 39 356
42 58 293
57 64 61
47 59 461
5 71 201
30 39 932
47 70 868
42 43 314
29 63 790
12 26 513
2 68 30
60 74 630
9 34 343
35 63 485
4 50 783
44 82 864
21 62 325
37 41 440
5 38 968
62 65 364
53 74 82
19 24 780
23 44 433
20 36 734
21 84 721
24 68 457
53 72 552
34 66 926
28 64 98
22 83 245
52 68 904
15 17 454
4 64 538
29 43 318
20 44 916
42 49 92
57 79 250
51 82 136
71 75 406
15 53 392
32 41 1
4 26 788
7 62 23
40 72 697
6 27 625
7 78 158
51 60 561
77 78 303
12 21 950
9 82 529
29 34 667
4 24 32
37 38 662
18 56 101
30 80 766
6 7 383
25 50 910
33 34 670
40 44 309
18 43 360
29 74 915
10 60 565
17 60 814
15 47 806
43 60 883
20 28 82
10 24 898
36 71 485
21 65 218
1 31 656
38 54 878
53 79 572
17 64 444
62 81 253
35 54 269
17 26 69
42 78 763
48 61 182
20 80 372
30 61 713
55 66 711
14 69 392
6 49 745
37 40 373
48 58 845
72 78 863
51 74 108
24 55 107
34 43 534
13 52 769
23 29 467
17 76 801
39 44 687
37 48 281
59 83 959
13 54 922
55 84 716
48 59 209
24 66 408
19 46 934
8 58 865
63 84 638
59 80 506
13 16 661
37 83 243
42 77 127
6 55 731
15 65 6
49 50 309
17 27 455
33 51 719
40 48 373
31 52 199
1 48 816
23 74 746
27 60 44
40 51 679
4 62 207
45 63 503
6 53 565
39 46 328
41 75 970
